job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,average_salary,salary_range,experience_category,remote_flag,high_salary_job,job_age
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,56873,72223,Full-time,2023,Large,64548.0,15350,Junior,1,0,3
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,70201.0,30796,Junior,1,0,2
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,162893.0,25826,Experienced,1,1,5
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,69980.0,32994,Junior,1,0,3
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102977,127298,Full-time,2023,Large,115137.5,24321,Junior,0,1,3
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large,164084.0,31766,Experienced,0,1,5
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,143946,173591,Full-time,2020,Small,158768.5,29645,Experienced,0,1,6
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,147177,171959,Full-time,2023,Small,159568.0,24782,Experienced,0,1,3
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,61851,83711,Full-time,2024,Medium,72781.0,21860,Junior,1,0,2
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,57350,69593,Full-time,2023,Small,63471.5,12243,Junior,0,0,3
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,56209,65070,Full-time,2023,Medium,60639.5,8861,Junior,0,0,3
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,140931,171640,Full-time,2020,Small,156285.5,30709,Experienced,0,1,6
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,146484,159288,Full-time,2025,Large,152886.0,12804,Experienced,0,1,1
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,60021,86429,Full-time,2024,Small,73225.0,26408,Junior,0,0,2
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,150392,168879,Full-time,2026,Medium,159635.5,18487,Experienced,0,1,0
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,97041,109176,Full-time,2020,Medium,103108.5,12135,Junior,1,0,6
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,102067,115885,Full-time,2026,Medium,108976.0,13818,Junior,1,1,0
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,104161,107274,Full-time,2026,Medium,105717.5,3113,Junior,0,0,0
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,146311,173893,Full-time,2021,Medium,160102.0,27582,Experienced,0,1,5
S3Y70HP87WXE,AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,60926,78382,Full-time,2022,Medium,69654.0,17456,Junior,0,0,4
GXN0GUO4KH2V,AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,Entry,0,57244,87138,Full-time,2021,Large,72191.0,29894,Junior,0,0,5
DSWM31YIHAIR,Data Scientist,MNC,Retail,UK,London,Onsite,Senior,5,154518,175636,Full-time,2024,Small,165077.0,21118,Experienced,0,1,2
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,Full-time,2025,Large,111677.5,17095,Junior,0,1,1
WZS3T60RJIW1,Applied Scientist,MNC,Finance,Canada,Vancouver,Onsite,Mid,2,94499,119413,Full-time,2020,Large,106956.0,24914,Junior,0,0,6
M6CFNFHOLQC3,Data Analyst,Research Lab,Tech,Germany,Remote,Remote,Mid,2,104036,123864,Full-time,2023,Medium,113950.0,19828,Junior,1,1,3
48P0TVHHPBMY,Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,Mid,2,103770,120315,Full-time,2021,Large,112042.5,16545,Junior,0,1,5
VXDP5GJLQM5K,Data Analyst,MNC,Tech,Canada,Remote,Remote,Mid,2,97705,105635,Full-time,2025,Large,101670.0,7930,Junior,1,0,1
C8BBI4WIRE8Q,AI Researcher,MNC,Finance,USA,San Francisco,Hybrid,Senior,5,149926,174898,Full-time,2025,Large,162412.0,24972,Experienced,0,1,1
DALY8OZCYWD1,MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,Mid,2,103045,123544,Full-time,2026,Small,113294.5,20499,Junior,1,1,0
